transaction_id,contractor_or_beneficiary,amount,date,agency,purpose,anchored_hash,day_of_year,anomaly_score_rf,anomaly_score_xgb,anomaly_score_gb,anomaly_score_ensemble,is_anomaly_predicted,risk_level
20,Individual Aid Recipient 339,2647.96,2025-11-05,HHS,Equipment,antigrav_hash_00000013,309,0.0,8.533234e-06,1.5936081644448908e-08,2.849723358870584e-06,0,LOW
21,Individual Aid Recipient 638,198485.86,2025-01-14,DOT,Construction,antigrav_hash_00000014,14,0.428977,0.00020346965,0.433778047954672,0.2876528392021411,0,LOW
22,Individual Aid Recipient 16,15698.74,2025-10-15,DOD,Research,antigrav_hash_00000015,288,0.0,1.142606e-05,1.5936081644448908e-08,3.8139987455206993e-06,0,LOW
23,Individual Aid Recipient 897,24374.49,2025-04-12,DOT,Aid,antigrav_hash_00000016,102,0.0,1.3349006e-05,1.5936081644448908e-08,4.454980598005101e-06,0,LOW
24,Individual Aid Recipient 541,2598.99,2025-11-29,DOE,Aid,antigrav_hash_00000017,333,0.0,7.019753e-06,1.5936081644448908e-08,2.345229679446147e-06,0,LOW
25,Individual Aid Recipient 255,9734.45,2025-12-26,DOT,Research,antigrav_hash_00000018,360,0.0,6.5141e-06,1.5936081644448908e-08,2.1766786349172313e-06,0,LOW
26,Individual Aid Recipient 838,26013.84,2025-10-07,Education,Equipment,antigrav_hash_00000019,280,0.0,7.009899e-06,1.5936081644448908e-08,2.341945039330694e-06,0,LOW
27,Individual Aid Recipient 301,3918.68,2025-08-03,HHS,Services,antigrav_hash_0000001a,215,0.0,7.201011e-06,1.5936081644448908e-08,2.405649079891876e-06,0,LOW
28,Individual Aid Recipient 422,38698.15,2025-04-23,Education,Research,antigrav_hash_0000001b,113,0.0,6.64903e-06,1.5936081644448908e-08,2.221655421656657e-06,0,LOW
29,Individual Aid Recipient 506,8946.72,2025-08-18,HHS,Research,antigrav_hash_0000001c,230,0.0,7.683129e-06,1.5936081644448908e-08,2.566355126288199e-06,0,LOW
30,Individual Aid Recipient 736,14220.78,2025-10-29,Education,Aid,antigrav_hash_0000001d,302,0.0,6.1495793e-06,1.5936081644448908e-08,2.055171810167321e-06,0,LOW
31,Individual Aid Recipient 848,8932.4,2025-05-23,DOT,Equipment,antigrav_hash_0000001e,143,0.0,7.3110136e-06,1.5936081644448908e-08,2.442316571453454e-06,0,LOW
32,Individual Aid Recipient 256,354483.57,2025-01-04,Education,Equipment,antigrav_hash_0000001f,4,0.433977,0.00040757837,0.433778047954672,0.28938754210669454,0,LOW
33,Individual Aid Recipient 508,21585.01,2025-03-23,Education,Services,antigrav_hash_00000020,82,0.0,1.4490012e-05,1.5936081644448908e-08,4.835316124041509e-06,0,LOW
34,Individual Aid Recipient 118,4507.21,2025-12-24,DOT,Construction,antigrav_hash_00000021,358,0.0,2.0150206e-05,1.5936081644448908e-08,6.722047421459519e-06,0,LOW
35,Individual Aid Recipient 761,75645.81,2025-08-05,DOD,Research,antigrav_hash_00000022,217,0.0,6.362085e-06,1.5936081644448908e-08,2.1260070471026544e-06,0,LOW
36,Individual Aid Recipient 949,3528.88,2025-06-24,Education,Services,antigrav_hash_00000023,175,0.0,7.0749916e-06,1.5936081644448908e-08,2.3636425512659904e-06,0,LOW
37,Individual Aid Recipient 448,30130.57,2025-05-23,DOT,Services,antigrav_hash_00000024,143,0.0,6.0397356e-06,1.5936081644448908e-08,2.0185572208808963e-06,0,LOW
38,Individual Aid Recipient 574,1165.02,2025-03-21,Education,Aid,antigrav_hash_00000025,80,0.0,9.477055e-06,1.5936081644448908e-08,3.164330309139665e-06,0,LOW
39,Infra Builders,3004.06,2025-04-21,HHS,Construction,antigrav_hash_00000026,111,0.0,7.536178e-06,1.5936081644448908e-08,2.5173714090576624e-06,0,LOW
40,Individual Aid Recipient 337,29592.96,2025-06-22,Education,Research,antigrav_hash_00000027,173,0.0,7.0671354e-06,1.5936081644448908e-08,2.3610238128546854e-06,0,LOW
41,Individual Aid Recipient 232,66682.64,2025-02-22,DOD,Aid,antigrav_hash_00000028,53,0.388977,0.00016375285,0.433778047954672,0.27430626693408533,0,LOW
42,Individual Aid Recipient 750,28482.71,2025-02-17,Education,Research,antigrav_hash_00000029,48,0.388977,0.00015826304,0.4337780459382244,0.2743044363246417,0,LOW
43,Individual Aid Recipient 583,18518.54,2025-07-14,DOT,Services,antigrav_hash_0000002a,195,0.0,6.0007583e-06,1.5936081644448908e-08,2.0055647859011693e-06,0,LOW
44,Individual Aid Recipient 719,14021.46,2025-02-19,DOT,Research,antigrav_hash_0000002b,50,0.388977,0.0001765836,0.4337780459382244,0.2743105431813864,0,LOW
45,Individual Aid Recipient 945,2397.58,2025-07-03,DOD,Aid,antigrav_hash_0000002c,184,0.0,7.1232894e-06,1.5936081644448908e-08,2.3797418201469733e-06,0,LOW
46,Individual Aid Recipient 669,7481.84,2025-06-26,HHS,Equipment,antigrav_hash_0000002d,177,0.0,8.151361e-06,1.5936081644448908e-08,2.7224322993998486e-06,0,LOW
47,Individual Aid Recipient 851,11037.37,2025-11-06,HHS,Equipment,antigrav_hash_0000002e,310,0.0,7.555169e-06,1.5936081644448908e-08,2.523701643764452e-06,0,LOW
48,Individual Aid Recipient 230,107547.01,2025-05-16,Education,Equipment,antigrav_hash_0000002f,136,0.0,5.8681335e-06,1.5936081644448908e-08,1.9613565221847417e-06,0,LOW
49,Individual Aid Recipient 296,36880.1,2025-01-23,Education,Services,antigrav_hash_00000030,23,0.418977,0.00021441454,0.4337780459382244,0.28432315349277354,0,LOW
50,Individual Aid Recipient 670,1564.68,2025-08-24,Education,Services,antigrav_hash_00000031,236,0.0,1.08231425e-05,1.5936081644448908e-08,3.6130261854454326e-06,0,LOW
51,Individual Aid Recipient 821,35815.14,2025-10-02,HHS,Construction,antigrav_hash_00000032,275,0.0,6.7409696e-06,1.5936081644448908e-08,2.2523019067100478e-06,0,LOW
52,Individual Aid Recipient 574,12361.93,2025-03-05,DOT,Construction,antigrav_hash_00000033,64,0.36923274999999994,0.00052655785,1.9407147971216547e-08,0.12325310908608833,0,LOW
53,Individual Aid Recipient 135,7979.39,2025-07-13,DOT,Equipment,antigrav_hash_00000034,194,0.0,5.7719585e-06,1.5936081644448908e-08,1.9292981981892987e-06,0,LOW
54,Individual Aid Recipient 376,55133.59,2025-02-10,DOE,Aid,antigrav_hash_00000035,41,0.408977,0.00014852248,0.433778047954672,0.2809678568110279,0,LOW
55,Individual Aid Recipient 742,103414.38,2025-10-10,DOE,Construction,antigrav_hash_00000036,283,0.0,5.752313e-06,1.5936081644448908e-08,1.9227496847540834e-06,0,LOW
56,Individual Aid Recipient 99,89047.05,2025-05-31,Education,Research,antigrav_hash_00000037,151,0.0,7.659492e-06,1.5936081644448908e-08,2.55847617368674e-06,0,LOW
57,Individual Aid Recipient 517,6255.23,2025-11-18,HHS,Equipment,antigrav_hash_00000038,322,0.0,1.0381811e-05,1.5936081644448908e-08,3.4659157205985617e-06,0,LOW
58,Individual Aid Recipient 188,13851.95,2025-11-13,DOE,Construction,antigrav_hash_00000039,317,0.0,1.0106928e-05,1.5936081644448908e-08,3.374288070538647e-06,0,LOW
59,Individual Aid Recipient 784,36202.92,2025-07-05,DOD,Construction,antigrav_hash_0000003a,186,0.0,6.668011e-06,1.5936081644448908e-08,2.2279823215495404e-06,0,LOW
60,Individual Aid Recipient 454,95160.26,2025-10-23,Education,Equipment,antigrav_hash_0000003b,296,0.0,5.6532904e-06,1.5936081644448908e-08,1.88974215145489e-06,0,LOW
61,Individual Aid Recipient 141,10734.72,2025-04-09,DOD,Services,antigrav_hash_0000003c,99,0.0,7.0498154e-06,1.5936081644448908e-08,2.355250492070281e-06,0,LOW
62,Individual Aid Recipient 425,16672.43,2025-12-27,DOE,Construction,antigrav_hash_0000003d,361,0.0,1.0157891e-05,1.5936081644448908e-08,3.391275612578362e-06,0,LOW
63,Individual Aid Recipient 411,4190.17,2025-02-05,DOD,Services,antigrav_hash_0000003e,36,0.418977,0.00016109634,0.4337780459382244,0.28430538075849193,0,LOW
64,Individual Aid Recipient 86,3661.73,2025-01-24,DOD,Services,antigrav_hash_0000003f,24,0.418977,0.00017555279,0.4337780459382244,0.2843101995767134,0,LOW
65,Individual Aid Recipient 424,74517.46,2025-12-05,DOE,Construction,antigrav_hash_00000040,339,0.0,6.4411875e-06,1.5936081644448908e-08,2.1523745111666536e-06,0,LOW
66,Individual Aid Recipient 125,168444.24,2025-04-27,DOD,Equipment,antigrav_hash_00000041,117,0.0,6.9714383e-06,1.5936081644448908e-08,2.3291248020145027e-06,0,LOW
67,Individual Aid Recipient 211,19771.26,2025-05-29,HHS,Construction,antigrav_hash_00000042,149,0.0,1.1351975e-05,1.5936081644448908e-08,3.78930384221326e-06,0,LOW
68,Individual Aid Recipient 72,99240.29,2025-02-10,DOT,Research,antigrav_hash_00000043,41,0.408977,0.0005037553,0.4337780459382244,0.28108626707640566,0,LOW
69,Individual Aid Recipient 680,37890.44,2025-04-30,DOT,Aid,antigrav_hash_00000044,120,0.0,7.3008273e-06,1.5936081644448908e-08,2.438921124566835e-06,0,LOW
70,Individual Aid Recipient 402,8369.26,2025-02-21,DOT,Services,antigrav_hash_00000045,52,0.388977,0.00027562553,0.4337780459382244,0.27434355715512077,0,LOW
71,Individual Aid Recipient 560,37876.78,2025-07-14,Education,Services,antigrav_hash_00000046,195,0.0,5.6532904e-06,1.5936081644448908e-08,1.88974215145489e-06,0,LOW
72,Individual Aid Recipient 784,221251.39,2025-05-23,DOT,Research,antigrav_hash_00000047,143,0.0,9.249976e-06,1.5936081644448908e-08,3.088637309419712e-06,0,LOW
73,Individual Aid Recipient 878,20874.03,2025-08-21,Education,Construction,antigrav_hash_00000048,233,0.0,1.22398005e-05,1.5936081644448908e-08,4.085245535882756e-06,0,LOW
74,Individual Aid Recipient 586,230260.25,2025-11-22,DOD,Services,antigrav_hash_00000049,326,0.0,1.9550815e-05,1.5936081644448908e-08,6.5222502317038435e-06,0,LOW
75,Individual Aid Recipient 639,432.85,2025-07-06,Education,Construction,antigrav_hash_0000004a,187,0.0,1.2841563e-05,1.5936081644448908e-08,4.285833076534272e-06,0,LOW
76,Public Funds LLC,75572.95,2025-03-25,HHS,Aid,antigrav_hash_0000004b,84,0.0,1.59173e-05,1.5936081644448908e-08,5.31107856267204e-06,0,LOW
77,Individual Aid Recipient 693,25098.68,2025-07-09,DOT,Aid,antigrav_hash_0000004c,190,0.0,6.496053e-06,1.5936081644448908e-08,2.1706630853772546e-06,0,LOW
78,Individual Aid Recipient 955,14065.62,2025-07-01,HHS,Research,antigrav_hash_0000004d,182,0.0,6.658828e-06,1.5936081644448908e-08,2.2249214171307236e-06,0,LOW
79,Individual Aid Recipient 736,25276.77,2025-04-18,HHS,Services,antigrav_hash_0000004e,108,0.0,7.1700715e-06,1.5936081644448908e-08,2.3953358647211218e-06,0,LOW
80,Individual Aid Recipient 416,1117.27,2025-12-10,DOT,Construction,antigrav_hash_0000004f,344,0.0,7.5236117e-06,1.5936081644448908e-08,2.513182579626197e-06,0,LOW
81,Individual Aid Recipient 158,15843.14,2025-05-17,HHS,Research,antigrav_hash_00000050,137,0.0,6.7409696e-06,1.5936081644448908e-08,2.2523019067100478e-06,0,LOW
82,Individual Aid Recipient 506,37634.21,2025-12-26,Education,Aid,antigrav_hash_00000051,360,0.0,6.747697e-06,1.5936081644448908e-08,2.254544417479719e-06,0,LOW
83,Individual Aid Recipient 485,202165.32,2025-12-16,DOD,Construction,antigrav_hash_00000052,350,0.0,8.2815095e-06,1.5936081644448908e-08,2.7658151966744173e-06,0,LOW
84,Individual Aid Recipient 458,10123.3,2025-11-28,HHS,Research,antigrav_hash_00000053,332,0.0,1.1351975e-05,1.5936081644448908e-08,3.78930384221326e-06,0,LOW
85,Individual Aid Recipient 976,6550.26,2025-02-06,DOD,Equipment,antigrav_hash_00000054,37,0.418977,0.00055670115,0.433778047954672,0.2844372497028848,0,LOW
86,Individual Aid Recipient 514,10377.18,2025-11-08,DOD,Construction,antigrav_hash_00000055,312,0.0,7.5741564e-06,1.5936081644448908e-08,2.53003081739409e-06,0,LOW
87,Individual Aid Recipient 530,86951.27,2025-11-22,HHS,Construction,antigrav_hash_00000056,326,0.0,6.5494437e-06,1.5936081644448908e-08,2.188459926119097e-06,0,LOW
88,Individual Aid Recipient 698,36066.75,2025-03-29,DOD,Research,antigrav_hash_00000057,88,0.0,7.0498154e-06,1.5936081644448908e-08,2.355250492070281e-06,0,LOW
89,Individual Aid Recipient 455,9950.32,2025-10-01,DOT,Aid,antigrav_hash_00000058,274,0.0,9.197242e-06,1.5936081644448908e-08,3.0710595053185467e-06,0,LOW
90,Individual Aid Recipient 26,47567.32,2025-05-06,Education,Construction,antigrav_hash_00000059,126,0.0,5.7626526e-06,1.5936081644448908e-08,1.926196214926452e-06,0,LOW
91,Individual Aid Recipient 152,25479.16,2025-03-25,HHS,Services,antigrav_hash_0000005a,84,0.0,7.760969e-06,1.5936081644448908e-08,2.592301797470178e-06,0,LOW
92,Individual Aid Recipient 560,94180.41,2025-08-25,DOD,Equipment,antigrav_hash_0000005b,237,0.0,5.9550143e-06,1.5936081644448908e-08,1.990316804061046e-06,0,LOW
93,Individual Aid Recipient 929,7684.19,2025-07-14,HHS,Equipment,antigrav_hash_0000005c,195,0.0,6.806654e-06,1.5936081644448908e-08,2.2741966274131783e-06,0,LOW
94,Individual Aid Recipient 113,13473.86,2025-05-19,DOT,Aid,antigrav_hash_0000005d,139,0.0,9.033411e-06,1.5936081644448908e-08,3.0164488959505913e-06,0,LOW
95,Individual Aid Recipient 858,12232.33,2025-11-24,DOD,Construction,antigrav_hash_0000005e,328,0.0,7.2963658e-06,1.5936081644448908e-08,2.437433949146986e-06,0,LOW
96,Individual Aid Recipient 105,2452.17,2025-12-19,HHS,Services,antigrav_hash_0000005f,353,0.0,7.0160654e-06,1.5936081644448908e-08,2.3440004973567007e-06,0,LOW
97,Individual Aid Recipient 368,34343.92,2025-10-13,DOT,Research,antigrav_hash_00000060,286,0.0,6.7693672e-06,1.5936081644448908e-08,2.2617677759836502e-06,0,LOW
98,Individual Aid Recipient 287,32584.2,2025-04-23,Education,Research,antigrav_hash_00000061,113,0.0,6.152829e-06,1.5936081644448908e-08,2.0562550183571326e-06,0,LOW
99,Individual Aid Recipient 524,22196.06,2025-12-17,DOT,Aid,antigrav_hash_00000062,351,0.0,5.9916374e-06,1.5936081644448908e-08,2.002524496695593e-06,0,LOW
100,Individual Aid Recipient 112,15492.62,2025-06-16,DOD,Services,antigrav_hash_00000063,167,0.0,7.260341e-06,1.5936081644448908e-08,2.4254257390170275e-06,0,LOW
101,Individual Aid Recipient 302,2635.8,2025-01-29,DOE,Construction,antigrav_hash_00000064,29,0.418977,0.00016846407,0.433778047954672,0.2843078373428223,0,LOW
102,Individual Aid Recipient 373,11719.77,2025-04-28,HHS,Construction,antigrav_hash_00000065,118,0.0,6.875968e-06,1.5936081644448908e-08,2.297301430817018e-06,0,LOW
103,Individual Aid Recipient 291,13173.05,2025-01-17,DOT,Services,antigrav_hash_00000066,17,0.428977,0.00018349479,0.4337780459382244,0.28764618024297145,0,LOW
104,Individual Aid Recipient 21,6611.62,2025-06-11,Education,Services,antigrav_hash_00000067,162,0.0,6.5161194e-06,1.5936081644448908e-08,2.1773518125789934e-06,0,LOW
105,Individual Aid Recipient 138,17293.25,2025-07-25,DOT,Construction,antigrav_hash_00000068,206,0.0,6.333439e-06,1.5936081644448908e-08,2.1164584138111905e-06,0,LOW
106,Individual Aid Recipient 789,40379.45,2025-05-18,HHS,Construction,antigrav_hash_00000069,138,0.0,6.5494437e-06,1.5936081644448908e-08,2.188459926119097e-06,0,LOW
107,Individual Aid Recipient 421,372979.54,2025-02-03,DOD,Construction,antigrav_hash_0000006a,34,0.418977,0.0005564643,0.433778047954672,0.284437170753894,0,LOW
108,Individual Aid Recipient 944,28620.16,2025-04-19,HHS,Equipment,antigrav_hash_0000006b,109,0.0,1.4270921e-05,1.5936081644448908e-08,4.762285821643448e-06,0,LOW
109,Individual Aid Recipient 303,32413.35,2025-10-18,DOD,Equipment,antigrav_hash_0000006c,291,0.0,1.7859831e-05,1.5936081644448908e-08,5.958589071290668e-06,0,LOW
110,Individual Aid Recipient 281,19699.16,2025-06-11,DOE,Research,antigrav_hash_0000006d,162,0.0,5.6532904e-06,1.5936081644448908e-08,1.88974215145489e-06,0,LOW
111,Individual Aid Recipient 179,1238.73,2025-04-19,DOE,Construction,antigrav_hash_0000006e,109,0.0,7.3049855e-06,1.5936081644448908e-08,2.440307194492337e-06,0,LOW
112,Individual Aid Recipient 744,21167.65,2025-12-02,Education,Construction,antigrav_hash_0000006f,336,0.0,6.515274e-06,1.5936081644448908e-08,2.177070020803894e-06,0,LOW
113,Tech Innovators Inc,24109.12,2025-09-13,DOD,Equipment,antigrav_hash_00000070,256,0.0,6.57918e-06,1.5936081644448908e-08,2.1983720541263693e-06,0,LOW
114,Individual Aid Recipient 549,886346.44,2025-07-22,DOD,Equipment,antigrav_hash_00000071,203,0.4796024930703621,0.00056442316,1.6729488603782922e-06,0.16005619639204158,0,LOW
115,Individual Aid Recipient 61,16505.66,2025-11-26,DOE,Aid,antigrav_hash_00000072,330,0.0794885,2.5079102e-05,1.178646639945942e-07,0.02650456565547488,0,LOW
116,Individual Aid Recipient 38,34624.65,2025-08-23,Education,Services,antigrav_hash_00000073,235,0.0794885,3.9536208e-05,1.178646639945942e-07,0.02650938469076244,0,LOW
117,Individual Aid Recipient 481,20908.95,2025-03-15,Education,Services,antigrav_hash_00000074,74,0.233977,0.00014576956,1.5936081644448908e-08,0.07804092849924085,0,LOW
118,Individual Aid Recipient 307,3816.1,2025-05-16,DOE,Construction,antigrav_hash_00000075,136,0.0,6.3982275e-06,1.5936081644448908e-08,2.138054517087239e-06,0,LOW
119,Individual Aid Recipient 452,122300.23,2025-03-13,DOD,Equipment,antigrav_hash_00000076,72,0.283977,0.0001640429,1.5936081644448908e-08,0.09471368627747996,0,LOW
120,Individual Aid Recipient 336,68043.3,2025-05-07,HHS,Aid,antigrav_hash_00000077,127,0.0,1.11623895e-05,1.5936081644448908e-08,3.72610851235527e-06,0,LOW
121,Individual Aid Recipient 376,72153.27,2025-10-15,DOE,Services,antigrav_hash_00000078,288,0.0,1.12759835e-05,1.5936081644448908e-08,3.763973202109282e-06,0,LOW
122,Individual Aid Recipient 840,5630.3,2025-10-03,HHS,Research,antigrav_hash_00000079,276,0.0,6.619869e-06,1.5936081644448908e-08,2.2119350454490083e-06,0,LOW
123,Individual Aid Recipient 840,180627.37,2025-05-15,DOT,Research,antigrav_hash_0000007a,135,0.0,8.085721e-06,1.5936081644448908e-08,2.7005522821943965e-06,0,LOW
124,Individual Aid Recipient 127,2689.8,2025-10-27,Education,Research,antigrav_hash_0000007b,300,0.0,1.1076675e-05,1.5936081644448908e-08,3.697537039463974e-06,0,LOW
125,Individual Aid Recipient 133,53118.77,2025-08-08,Education,Research,antigrav_hash_0000007c,220,0.0,1.20467785e-05,1.5936081644448908e-08,4.020904849030333e-06,0,LOW
126,Individual Aid Recipient 639,588706.74,2025-10-26,DOE,Services,antigrav_hash_0000007d,299,0.019232750000000003,5.627516e-05,1.5936081644448908e-08,0.00642968036512561,0,LOW
127,Individual Aid Recipient 766,4985.03,2025-07-24,DOT,Construction,antigrav_hash_0000007e,205,0.0,1.3378292e-05,1.5936081644448908e-08,4.464742810969031e-06,0,LOW
128,Individual Aid Recipient 670,9419.65,2025-07-05,DOD,Equipment,antigrav_hash_0000007f,186,0.0,2.1152084e-05,1.5936081644448908e-08,7.056006599992924e-06,0,LOW
129,Individual Aid Recipient 144,25577.72,2025-04-23,Education,Services,antigrav_hash_00000080,113,0.0,5.9886042e-06,1.5936081644448908e-08,2.001513441752122e-06,0,LOW
130,Individual Aid Recipient 732,10350.46,2025-03-12,HHS,Construction,antigrav_hash_00000081,71,0.283977,0.00016269126,1.5936081644448908e-08,0.09471323573078194,0,LOW
131,Individual Aid Recipient 83,2151.68,2025-09-18,DOD,Aid,antigrav_hash_00000082,261,0.0,6.2477907e-06,1.5936081644448908e-08,2.0879089203751874e-06,0,LOW
132,Individual Aid Recipient 627,24412.35,2025-09-10,Education,Research,antigrav_hash_00000083,253,0.0,6.9790085e-06,1.5936081644448908e-08,2.3316481950645717e-06,0,LOW
133,Individual Aid Recipient 626,4476.27,2025-02-16,HHS,Research,antigrav_hash_00000084,47,0.388977,0.00018567682,0.4337780459382244,0.2743135742531664,0,LOW
134,Individual Aid Recipient 386,44819.05,2025-01-25,DOT,Construction,antigrav_hash_00000085,25,0.418977,0.00015573254,0.433778047954672,0.2843035934998753,0,LOW
135,Individual Aid Recipient 907,5546.17,2025-02-26,Education,Construction,antigrav_hash_00000086,57,0.388977,0.00018432035,0.433778047954672,0.2743131227682056,0,LOW
136,Individual Aid Recipient 337,225235.46,2025-03-20,Education,Services,antigrav_hash_00000087,79,0.148977,0.00022844155,1.5936081644448908e-08,0.049735152496424,0,LOW
137,Individual Aid Recipient 39,6803.01,2025-11-18,DOD,Equipment,antigrav_hash_00000088,322,0.0,1.3663948e-05,1.5936081644448908e-08,4.559961449276446e-06,0,LOW
138,Individual Aid Recipient 674,13587.53,2025-03-23,HHS,Aid,antigrav_hash_00000089,82,0.0,1.5515934e-05,1.5936081644448908e-08,5.177290073051839e-06,0,LOW
139,Individual Aid Recipient 443,74628.36,2025-12-15,DOE,Services,antigrav_hash_0000008a,349,0.0,6.2193394e-06,1.5936081644448908e-08,2.0784251643724502e-06,0,LOW
140,Individual Aid Recipient 274,3476.23,2025-08-05,DOT,Services,antigrav_hash_0000008b,217,0.0,6.1528644e-06,1.5936081644448908e-08,2.0562668417882556e-06,0,LOW
141,Individual Aid Recipient 82,30982.87,2025-11-02,Education,Construction,antigrav_hash_0000008c,306,0.0,6.0397356e-06,1.5936081644448908e-08,2.0185572208808963e-06,0,LOW
142,Individual Aid Recipient 161,156484.8,2025-02-02,HHS,Aid,antigrav_hash_0000008d,33,0.418977,0.00019045455,0.433778047954672,0.28431516750147007,0,LOW
143,Individual Aid Recipient 18,1975.89,2025-07-17,DOD,Research,antigrav_hash_0000008e,198,0.0,1.0364064e-05,1.5936081644448908e-08,3.4600000638933303e-06,0,LOW
144,Individual Aid Recipient 633,29055.14,2025-07-15,DOD,Aid,antigrav_hash_0000008f,196,0.0,1.26897285e-05,1.5936081644448908e-08,4.235221515370012e-06,0,LOW
145,Individual Aid Recipient 776,32526.95,2025-11-02,HHS,Research,antigrav_hash_00000090,306,0.0,8.0965465e-06,1.5936081644448908e-08,2.704160854006131e-06,0,LOW
146,Individual Aid Recipient 306,71163.43,2025-08-28,DOD,Services,antigrav_hash_00000091,240,0.0,5.9550143e-06,1.5936081644448908e-08,1.990316804061046e-06,0,LOW
147,Individual Aid Recipient 648,3444.64,2025-09-28,DOE,Construction,antigrav_hash_00000092,271,0.0,5.931233e-06,1.5936081644448908e-08,1.982389648240393e-06,0,LOW
148,Individual Aid Recipient 647,3039.1,2025-05-09,Education,Aid,antigrav_hash_00000093,129,0.0,7.237466e-06,1.5936081644448908e-08,2.417800687019814e-06,0,LOW
149,Individual Aid Recipient 79,48190.27,2025-10-11,HHS,Construction,antigrav_hash_00000094,284,0.0,7.189031e-06,1.5936081644448908e-08,2.401655640238841e-06,0,LOW
150,Individual Aid Recipient 963,34388.48,2025-01-06,DOD,Services,antigrav_hash_00000095,6,0.433977,0.00017778718,0.4337780459382244,0.2893109443728386,0,LOW
151,Individual Aid Recipient 543,32072.02,2025-12-15,HHS,Equipment,antigrav_hash_00000096,349,0.0,7.4063128e-06,1.5936081644448908e-08,2.474082947649628e-06,0,LOW
152,Individual Aid Recipient 762,37036.99,2025-02-28,HHS,Research,antigrav_hash_00000097,59,0.37923274999999995,0.0004843899,0.4337780459382244,0.2711650619438231,0,LOW
153,Individual Aid Recipient 965,7942.34,2025-12-16,DOE,Services,antigrav_hash_00000098,350,0.0,7.3340934e-06,1.5936081644448908e-08,2.4500098355533006e-06,0,LOW
154,Individual Aid Recipient 523,31206.46,2025-10-02,HHS,Aid,antigrav_hash_00000099,275,0.0,6.6795556e-06,1.5936081644448908e-08,2.231830545215192e-06,0,LOW
